manufacturer_id,manufacturer_name,business_category,country,item_count,primary_brand,notes
MFG-001,롯데웰푸드,제과/빙과/초콜릿,대한민국,209,"빼빼로, 가나초콜릿, 꼬깔콘, 자일리톨, ABC초코",국내 최대 종합 제과기업 / 수출 비중 최고
MFG-002,해태제과,제과/스낵/비스킷,대한민국,136,"홈런볼, 에이스, 오예스, 허니버터칩, 맛동산",전통 스테디셀러 스낵 및 비스킷 주력
MFG-003,기타제조사,일반 식품가공,대한민국,124,일반 품목군,등록 제조사
MFG-004,광동제약,건강음료/전통차/비타민,대한민국,70,"비타500, 옥수수수염차, 헛개차, 쌍화탕",비타민 및 건강 기능성 음료 전문
MFG-005,오리온,제과/스낵/파이,대한민국,67,"초코파이, 포카칩, 꼬북칩, 고래밥, 카스타드",글로벌 파이 및 감자스낵 선도기업
MFG-006,크라운제과,제과/스낵/웨하스,대한민국,63,"콘칩, 죠리퐁, 산도, 버터링, 쿠크다스",스낵 및 비스킷 전문 제과사
MFG-007,자뎅,원두커피/파우치음료,대한민국,26,"까페리얼, 아워티, 시그니처 드립백, 아이스 파우치",원두커피 및 파우치 음료 전문 제조사
MFG-008,롯데칠성음료,청량음료/탄산/과채,대한민국,25,"칠성사이다, 펩시, 밀키스, 2%, 레쓰비",국내 대표 청량음료 및 캔음료 제조사
MFG-009,농심,라면/스낵,대한민국,21,"신라면, 너구리, 안성탕면, 새우깡, 양파링",국내 1위 라면 및 스낵 제조사
MFG-010,음료제조사,일반 식품가공,대한민국,20,일반 품목군,등록 제조사
MFG-011,동아오츠카,이온음료/탄산음료,대한민국,17,"포카리스웨트, 데미소다, 오로나민C, 나랑드사이다",기능성 이온 및 저칼로리 탄산음료 전문
MFG-012,해태제과식품,냉동식품/만두,대한민국,11,"고향만두, 찹쌀만두피, 냉동 편의식",만두 및 냉동 편의식품 전문
MFG-013,매일유업,유가공/두유/치즈,대한민국,10,"매일우유, 바리스타룰스, 매일두유, 상하목장",유제품 및 특수 영양 음료 전문
MFG-014,해태htb,캔음료/과채음료,대한민국,9,"갈아만든배, 포도봉봉, 코코팜, 써니텐",과채 과립 음료 및 탄산음료 전문
MFG-015,제과제조사,일반 식품가공,대한민국,9,일반 품목군,등록 제조사
MFG-016,우일씨앤텍,생활위생/물티슈,대한민국,8,"물티슈, 클렌징 티슈, 위생용품",수출용 생활 위생용품 OEM 전문
MFG-017,면류제조사,일반 식품가공,대한민국,5,일반 품목군,등록 제조사
MFG-018,서주,아이스크림/빙과,대한민국,4,"서주아이스주, 젤리류, 캔디류",아이스크림 및 가공식품 제조사
MFG-019,농심(수입),라면/가공식품,대한민국,4,수입 면류 및 가공식품,농심 해외 수출입 제품 라인
MFG-020,코카-콜라음료,청량음료/탄산,대한민국,2,"코카콜라, 스프라이트, 환타, 파워에이드",글로벌 탄산음료 라이선스 생산
MFG-021,오뚜기,라면/조미식품,대한민국,2,"진라면, 열라면, 오뚜기카레, 케챂",종합 편의가공식품 및 라면 제조사
MFG-022,삼양식품,라면/스낵,대한민국,2,"불닭볶음면, 삼양라면, 짱구, 사또밥",K-매운맛 글로벌 히트 라면 제조사
MFG-023,확인필요,미등록/임시분류,대한민국,2,신규 입고 확인 품목,마스터 정비 필요 임시 분류
MFG-024,동서식품,인스턴트커피/다류,대한민국,2,"맥심 모카골드, 카누, 프리마, 오레오",국내 1위 커피믹스 및 인스턴트 커피사
MFG-025,환만식품,가공식품/전통식품,대한민국,2,"전통 과자, 한과류, 면류",수출용 전통 가공식품 제조사
MFG-026,CJ제일제당,일반 식품가공,대한민국,2,일반 품목군,등록 제조사
MFG-027,개미식품,제과/곡물스낵,대한민국,1,"구운 곡물 크리스피롤, 곡물 스낵",곡물 크리스피 롤 전문 제과사
MFG-028,동화약품,건강음료/의약외품,대한민국,1,"까스활명수, 후시딘, 비타민 음료",전통 제약사 기반 기능성 음료
MFG-029,동아제약,자양강장/피로회복,대한민국,1,"박카스, 판피린, 가그린",국내 대표 피로회복 음료 제조사
MFG-030,전인식품,제과/스낵류,대한민국,1,"소포장 전통 스낵, 건과류",전통 과자 및 건과 스낵 제조
MFG-031,웅진식품,음료/곡물차,대한민국,1,"하늘보리, 아침햇살, 초록매실",곡물차 및 전통 과채음료 전문
MFG-032,공통/물류,일반 식품가공,대한민국,1,일반 품목군,등록 제조사
